entity,lowest,low_medium,high_medium,highest
Brown University,Suede,Doe,Mongoose,Bison
Columbia University Libraries,mist,Bluebell,Opal Heather,blue
Cornell University,White,Raspberry Heather,Brown Sugar,Bark
Duke University,Chicory,ciel,delta,Celestial
Harvard University,Gosling,Pimento,Ash,Asphalt Heather
Johns Hopkins University,Sage brush,pool,seafaring,Marine heather
Massachusetts Institute of Technology,Silver,Tomato,Garnet Heather,Black
Princeton University,Turmeric,Sweet Potato,Orange,Asphalt heather
Stanford University,peony,Mauve,Serrano,Lingonberry Heather
University of Chicago,Canary,Toffee,Autumn Heather,Hazelnut
University of Pennsylvania,sky,Lipstick,Mulberry,Jay
Yale University,Cream,Sinnley Heather,Marble Heather,Navy
Humanities,Limeade Heather,Tarragon,Clover,Ivy
Medicine,Green Tea Heather,Edamame,Grass,Aurora Heather
Music and Arts,Celadon Heather,Spearmint,Verdant Heather,Douglas Fir
Social Sciences,Safflower,Lichen,Caper,Forest Heather
STEM,Alfalfa,Macaw,Macaw,Shire Heather
